,Timestamp,CPU [%],RAM [GiB],GPU [%],VRAM [GiB]
0,2024-11-05 02:00:21.203304,7.9,8.1,0.0,0.0
1,2024-11-05 02:00:21.286983,5.6,8.1,0.0,0.0
2,2024-11-05 02:00:21.352735,6.3,8.1,0.0,0.0
3,2024-11-05 02:00:21.391119,6.5,8.1,0.0,0.0
4,6.8,8.1,0.0,0.0,
5,26.1,8.3,0.0,0.0,
6,28.2,8.4,0.0,0.0,
7,35.3,8.6,0.0,0.0,
8,42.6,8.8,0.0,0.0,
9,2024-11-05 02:00:21.737016,46.9,8.9,0.0,0.0
10,CPU [%],RAM [GiB],GPU [%],VRAM [GiB],
11,48.8,8.9,0.0,0.0,
12,37.0,9.2,0.0,0.0,
13,37.1,9.3,0.0,0.0,
14,36.9,9.3,0.0,0.0,
15,34.8,9.4,0.0,0.0,
16,2024-11-05 02:00:22.082458,32.9,9.5,0.0,0.0
17,32.1,9.6,0.0,0.0,
18,31.8,9.7,0.0,0.0,
19,31.9,9.7,0.0,0.0,
20,32.2,9.8,0.0,0.0,
21,2024-11-05 02:00:22.464787,34.3,9.9,0.0,0.0
22,34.8,10.3,0.0,0.0,
23,34.7,10.4,0.0,0.0,
24,34.5,10.4,0.0,0.0,
25,34.6,10.5,0.0,0.0,
26,2024-11-05 02:00:22.810867,32.4,10.6,0.0,0.0
27,32.0,10.7,0.0,0.0,
28,32.2,10.7,0.0,0.0,
29,32.3,10.8,0.0,0.0,
30,32.7,10.9,0.0,0.0,
31,2024-11-05 02:00:23.156760,35.9,11.0,0.0,0.0
32,36.7,11.2,0.0,0.0,
33,36.3,11.4,0.0,0.0,
34,36.2,11.4,0.0,0.0,
35,36.2,11.5,0.0,0.0,
36,2024-11-05 02:00:23.502257,33.2,11.5,0.0,0.0
37,33.2,11.7,0.0,0.0,
38,33.1,11.7,0.0,0.0,
39,33.1,11.8,0.0,0.0,
40,33.2,11.8,0.0,0.0,
41,33.5,11.8,0.0,0.0,
42,2024-11-05 02:00:23.847793,32.5,11.9,0.0,0.0
43,23.8,12.0,0.0,0.0,
44,17.7,12.0,0.0,0.0,
45,14.6,12.0,0.0,0.0,
46,11.4,12.0,0.0,0.0,
47,7.9,12.0,0.0,0.0,
48,2024-11-05 02:00:24.205871,7.7,12.0,0.0,0.0
49,7.4,12.0,0.0,0.0,
50,7.3,12.1,0.0,0.0,
51,6.5,12.1,0.0,0.0,
52,6.9,12.1,0.0,0.0,
53,6.2,12.1,0.0,0.0,
54,2024-11-05 02:00:24.551154,7.0,12.1,0.0,0.0
55,6.5,12.1,0.0,0.0,
56,5.8,12.1,0.0,0.0,
57,4.8,12.1,0.0,0.0,
58,4.8,12.1,0.0,0.0,
59,4.9,12.1,0.0,0.0,
60,2024-11-05 02:00:24.908260,4.2,12.1,0.0,0.0
61,5.1,12.1,0.0,0.0,
62,5.2,12.1,0.0,0.0,
63,4.6,12.1,0.0,0.0,
64,4.7,12.1,0.0,0.0,
65,4.6,12.1,0.0,0.0,
66,2024-11-05 02:00:25.253175,4.6,12.1,0.0,0.0
67,5.8,12.1,0.0,0.0,
68,5.8,12.1,0.0,0.0,
69,5.7,12.1,0.0,0.0,
70,5.7,12.1,0.0,0.0,
71,2024-11-05 02:00:25.598281,5.6,12.1,0.0,0.0
72,2.7,12.1,0.0,0.0,
73,2.6,12.1,0.0,0.0,
74,2.9,12.1,0.0,0.0,
75,2.9,12.1,0.0,0.0,
76,2024-11-05 02:00:25.968579,3.0,12.1,0.0,0.0
77,8.0,12.1,0.0,0.0,
78,7.7,12.1,0.0,0.0,
79,7.6,12.1,0.0,0.0,
80,7.6,12.1,0.0,0.0,
81,2024-11-05 02:00:26.344325,7.3,12.1,0.0,0.0
82,3.1,12.1,0.0,0.0,
83,2.6,12.1,0.0,0.0,
84,2.4,12.1,0.0,0.0,
85,2.4,12.1,0.0,0.0,
86,2024-11-05 02:00:26.689424,1.9,12.1,0.0,0.0
87,2.2,12.1,0.0,0.0,
88,1.7,12.1,0.0,0.0,
89,1.6,12.1,0.0,0.0,
90,5.9,12.1,0.0,0.0,
91,7.3,12.1,0.0,0.0,
92,2024-11-05 02:00:27.034420,11.4,12.1,0.0,0.0
93,11.1,12.1,0.0,0.0,
94,11.7,12.1,0.0,0.0,
95,12.0,12.1,0.0,0.0,
96,6.1,12.1,0.0,0.0,
97,7.6,12.1,0.0,0.0,
