Timestamp,CPU [%],RAM [GiB],GPU [%],VRAM [GiB]
2024-11-05 05:51:12.842809,9.0,6.9,0.0,0.0
2024-11-05 05:51:13.082012,37.5,7.2,0.0,0.0
2024-11-05 05:51:13.082069,37.5,7.2,0.0,0.0
2024-11-05 05:51:13.082225,37.8,7.2,0.0,0.0
2024-11-05 05:51:13.089747,37.1,7.2,0.0,0.0
2024-11-05 05:51:13.199440,39.2,7.5,0.0,0.0
2024-11-05 05:51:13.442272,38.2,8.1,0.0,0.0
2024-11-05 05:51:13.444418,38.2,8.1,0.0,0.0
2024-11-05 05:51:13.445190,38.2,8.1,0.0,0.0
2024-11-05 05:51:13.453941,38.4,8.1,0.0,0.0
2024-11-05 05:51:13.558698,36.3,8.2,0.0,0.0
2024-11-05 05:51:13.801264,32.6,8.5,0.0,0.0
2024-11-05 05:51:13.802349,32.6,8.5,0.0,0.0
2024-11-05 05:51:13.805422,32.5,8.5,0.0,0.0
2024-11-05 05:51:13.815640,32.7,8.5,0.0,0.0
2024-11-05 05:51:13.914688,35.0,8.6,0.0,0.0
2024-11-05 05:51:14.162004,36.5,9.1,0.0,0.0
2024-11-05 05:51:14.162455,36.5,9.1,0.0,0.0
2024-11-05 05:51:14.164388,36.6,9.1,0.0,0.0
2024-11-05 05:51:14.175307,36.4,9.1,0.0,0.0
2024-11-05 05:51:14.273794,33.8,9.3,0.0,0.0
2024-11-05 05:51:14.521080,32.3,9.6,0.0,0.0
2024-11-05 05:51:14.523059,32.3,9.6,0.0,0.0
2024-11-05 05:51:14.534205,32.3,9.6,0.0,0.0
2024-11-05 05:51:14.535177,32.3,9.6,0.0,0.0
2024-11-05 05:51:14.632701,36.2,9.7,0.0,0.0
2024-11-05 05:51:14.879053,36.3,10.2,0.0,0.0
2024-11-05 05:51:14.884784,36.2,10.2,0.0,0.0
2024-11-05 05:51:14.896336,36.2,10.2,0.0,0.0
2024-11-05 05:51:14.896604,36.2,10.2,0.0,0.0
2024-11-05 05:51:14.989914,32.4,10.4,0.0,0.0
2024-11-05 05:51:15.253415,32.5,10.7,0.0,0.0
2024-11-05 05:51:15.254508,32.4,10.7,0.0,0.0
