,Timestamp,CPU [%],RAM [GiB],GPU [%],VRAM [GiB]
0,2024-11-05 01:38:51.683595,4.7,7.0,0.0,0.0
1,2024-11-05 01:38:51.692430,7.1,7.0,0.0,0.0
2,2024-11-05 01:38:51.823894,9.3,7.0,0.0,0.0
3,40.0,7.5,0.0,0.0,
4,41.2,7.5,0.0,0.0,
5,41.0,7.5,0.0,0.0,
6,2024-11-05 01:38:52.170633,47.3,7.9,0.0,0.0
7,37.3,8.2,0.0,0.0,
8,36.9,8.3,0.0,0.0,
9,36.9,8.3,0.0,0.0,
10,2024-11-05 01:38:52.516931,32.1,8.5,0.0,0.0
11,32.0,8.6,0.0,0.0,
12,32.1,8.6,0.0,0.0,
13,32.0,8.6,0.0,0.0,
14,2024-11-05 01:38:52.862781,35.0,8.9,0.0,0.0
15,35.4,9.3,0.0,0.0,
16,35.2,9.3,0.0,0.0,
17,35.5,9.4,0.0,0.0,
18,2024-11-05 01:38:53.208664,32.0,9.5,0.0,0.0
19,31.7,9.7,0.0,0.0,
20,31.9,9.7,0.0,0.0,
21,31.7,9.7,0.0,0.0,
22,2024-11-05 01:38:53.611640,32.5,9.9,0.0,0.0
23,36.6,10.4,0.0,0.0,
24,36.5,10.4,0.0,0.0,
25,36.6,10.4,0.0,0.0,
26,2024-11-05 01:38:53.969549,35.3,10.6,0.0,0.0
27,31.6,10.7,0.0,0.0,
28,31.6,10.7,0.0,0.0,
29,31.6,10.7,0.0,0.0,
30,2024-11-05 01:38:54.316226,32.5,11.0,0.0,0.0
31,24.6,11.1,0.0,0.0,
32,24.6,11.1,0.0,0.0,
33,24.1,11.1,0.0,0.0,
34,2024-11-05 01:38:54.662484,8.2,11.2,0.0,0.0
35,7.4,11.2,0.0,0.0,
36,7.4,11.2,0.0,0.0,
37,7.4,11.2,0.0,0.0,
38,2024-11-05 01:38:55.008691,8.6,11.2,0.0,0.0
39,8.2,11.2,0.0,0.0,
40,7.9,11.2,0.0,0.0,
41,7.9,11.2,0.0,0.0,
42,2024-11-05 01:38:55.353895,7.6,11.2,0.0,0.0
43,5.3,11.2,0.0,0.0,
44,5.4,11.2,0.0,0.0,
45,5.4,11.2,0.0,0.0,
46,2024-11-05 01:38:55.699030,1.5,11.2,0.0,0.0
47,7.1,11.2,0.0,0.0,
48,7.2,11.3,0.0,0.0,
49,7.3,11.3,0.0,0.0,
50,2024-11-05 01:38:56.054873,7.4,11.2,0.0,0.0
51,1.7,11.2,0.0,0.0,
52,1.8,11.2,0.0,0.0,
53,1.5,11.2,0.0,0.0,
54,2024-11-05 01:38:56.413891,1.8,11.3,0.0,0.0
55,11.3,11.2,0.0,0.0,
56,10.9,11.2,0.0,0.0,
57,11.5,11.3,0.0,0.0,
58,2024-11-05 01:38:56.771113,11.1,11.2,0.0,0.0
59,1.6,11.2,0.0,0.0,
60,2.5,11.3,0.0,0.0,
61,1.8,11.2,0.0,0.0,
62,2024-11-05 01:38:57.116467,2.3,11.2,0.0,0.0
63,2.4,11.2,0.0,0.0,
64,2.3,11.2,0.0,0.0,
65,2.1,11.2,0.0,0.0,
66,2024-11-05 01:38:57.461672,1.5,11.2,0.0,0.0
67,2.2,11.2,0.0,0.0,
68,2.2,11.2,0.0,0.0,
69,2.2,11.2,0.0,0.0,
70,2024-11-05 01:38:57.819886,2.2,11.2,0.0,0.0
71,1.6,11.2,0.0,0.0,
72,1.7,11.2,0.0,0.0,
73,2.5,11.2,0.0,0.0,
74,2024-11-05 01:38:58.176696,20.1,11.2,0.0,0.0
75,20.9,11.2,0.0,0.0,
76,19.2,11.2,0.0,0.0,
77,20.0,11.2,0.0,0.0,
78,2024-11-05 01:38:58.522742,1.6,11.2,0.0,0.0
79,1.9,11.3,0.0,0.0,
80,2.3,11.2,0.0,0.0,
81,2.4,11.3,0.0,0.0,
82,2024-11-05 01:38:58.879823,2.2,11.2,0.0,0.0
83,1.8,11.2,0.0,0.0,
84,1.6,11.2,0.0,0.0,
85,1.4,11.3,0.0,0.0,
86,2024-11-05 01:38:59.237609,1.9,11.2,0.0,0.0
87,1.9,11.2,0.0,0.0,
88,2.0,11.2,0.0,0.0,
89,2.0,11.3,0.0,0.0,
90,2024-11-05 01:38:59.583258,1.7,11.2,0.0,0.0
91,1.8,11.2,0.0,0.0,
92,1.8,11.2,0.0,0.0,
93,1.8,11.2,0.0,0.0,
94,2024-11-05 01:38:59.940926,2.3,11.2,0.0,0.0
95,2.2,11.2,0.0,0.0,
96,2.1,11.2,0.0,0.0,
97,2.2,11.2,0.0,0.0,
98,2024-11-05 01:39:00.286227,1.5,11.2,0.0,0.0
99,2.0,11.2,0.0,0.0,
100,2.1,11.2,0.0,0.0,
101,2.1,11.3,0.0,0.0,
102,2024-11-05 01:39:00.643956,2.2,11.2,0.0,0.0
103,1.7,11.2,0.0,0.0,
104,1.6,11.2,0.0,0.0,
105,1.6,11.3,0.0,0.0,
106,2024-11-05 01:39:00.990236,4.5,11.2,0.0,0.0
107,4.5,11.2,0.0,0.0,
108,4.7,11.2,0.0,0.0,
109,5.7,11.2,0.0,0.0,
110,2024-11-05 01:39:01.335298,6.9,11.2,0.0,0.0
111,7.0,11.2,0.0,0.0,
112,7.0,11.3,0.0,0.0,
113,6.2,11.3,0.0,0.0,
114,2024-11-05 01:39:01.681018,2.5,11.2,0.0,0.0
115,7.7,11.2,0.0,0.0,
116,7.0,11.2,0.0,0.0,
117,7.1,11.2,0.0,0.0,
118,2024-11-05 01:39:02.038280,7.2,11.3,0.0,0.0
119,2.1,11.2,0.0,0.0,
120,1.9,11.2,0.0,0.0,
121,1.9,11.2,0.0,0.0,
122,2024-11-05 01:39:02.394921,1.6,11.2,0.0,0.0
123,1.5,11.2,0.0,0.0,
124,6.7,11.2,0.0,0.0,
125,8.9,11.2,0.0,0.0,
126,2024-11-05 01:39:02.752069,11.5,11.2,0.0,0.0
127,12.2,11.2,0.0,0.0,
128,6.7,11.2,0.0,0.0,
129,4.3,11.2,0.0,0.0,
130,2024-11-05 01:39:03.140420,1.5,11.2,0.0,0.0
131,1.5,11.3,0.0,0.0,
132,2.0,11.2,0.0,0.0,
133,2.0,11.2,0.0,0.0,
134,2024-11-05 01:39:03.500900,2.0,11.2,0.0,0.0
135,1.6,11.2,0.0,0.0,
136,1.6,11.2,0.0,0.0,
137,2.0,11.2,0.0,0.0,
138,2024-11-05 01:39:03.845988,1.9,11.2,0.0,0.0
139,2.0,11.2,0.0,0.0,
140,2.0,11.2,0.0,0.0,
141,2024-11-05 01:39:04.195640,20.4,11.3,0.0,0.0
142,20.7,11.3,0.0,0.0,
143,20.4,11.2,0.0,0.0,
144,2.2,11.2,0.0,0.0,
145,2024-11-05 01:39:04.541196,2.1,11.2,0.0,0.0
146,1.9,11.2,0.0,0.0,
147,1.6,11.2,0.0,0.0,
148,2024-11-05 01:39:04.897810,1.9,11.2,0.0,0.0
149,1.9,11.2,0.0,0.0,
150,1.9,11.2,0.0,0.0,
151,1.4,11.2,0.0,0.0,
152,2024-11-05 01:39:05.242339,1.5,11.2,0.0,0.0
153,1.5,11.2,0.0,0.0,
154,1.5,11.2,0.0,0.0,
155,2024-11-05 01:39:05.592308,2.2,11.2,0.0,0.0
156,2.3,11.2,0.0,0.0,
157,2.1,11.2,0.0,0.0,
158,2024-11-05 01:39:05.937768,1.9,11.2,0.0,0.0
159,2.0,11.2,0.0,0.0,
160,1.8,11.2,0.0,0.0,
161,1.9,11.2,0.0,0.0,
162,2024-11-05 01:39:06.306509,1.5,11.2,0.0,0.0
163,1.5,11.2,0.0,0.0,
164,1.7,11.2,0.0,0.0,
165,1.6,11.2,0.0,0.0,
166,2024-11-05 01:39:06.664553,2.0,11.2,0.0,0.0
167,2.0,11.2,0.0,0.0,
168,2.1,11.2,0.0,0.0,
169,2024-11-05 01:39:07.051188,3.8,11.3,0.0,0.0
170,6.1,11.3,0.0,0.0,
171,2024-11-05 01:39:07.413783,5.7,11.3,0.0,0.0
172,4.1,11.3,0.0,0.0,
173,5.1,11.3,0.0,0.0,
174,2024-11-05 01:39:07.776590,5.2,11.3,0.0,0.0
175,5.1,11.3,0.0,0.0,
176,1.7,11.3,0.0,0.0,
177,2024-11-05 01:39:08.163026,1.6,11.3,0.0,0.0
178,1.8,11.3,0.0,0.0,
179,2.2,11.3,0.0,0.0,
180,2024-11-05 01:39:08.526319,6.1,11.3,0.0,0.0
181,6.1,11.3,0.0,0.0,
182,2.0,11.3,0.0,0.0,
