Timestamp,CPU [%],RAM [GiB],GPU [%],VRAM [GiB]
2024-11-05 10:05:34.286558,5.3,7.8,0.0,0.0
2024-11-05 10:05:34.290683,9.0,7.8,0.0,0.0
2024-11-05 10:05:34.306388,5.4,7.8,0.0,0.0
2024-11-05 10:05:34.467380,6.2,8.1,0.0,0.0
2024-11-05 10:05:34.482185,6.1,8.2,0.0,0.0
2024-11-05 10:05:34.486495,6.1,8.1,0.0,0.0
2024-11-05 10:05:34.492437,5.9,8.2,0.0,0.0
2024-11-05 10:05:34.548632,5.5,8.3,0.0,0.0
2024-11-05 10:05:34.581000,5.5,8.3,0.0,0.0
2024-11-05 10:05:34.655869,4.7,8.5,0.0,0.0
2024-11-05 10:05:34.660429,4.7,8.5,0.0,0.0
2024-11-05 10:05:34.661050,4.7,8.5,0.0,0.0
2024-11-05 10:05:34.822643,4.7,8.8,0.0,0.0
2024-11-05 10:05:34.838130,4.7,8.8,0.0,0.0
2024-11-05 10:05:34.841217,4.8,8.9,0.0,0.0
2024-11-05 10:05:34.860804,4.7,8.9,0.0,0.0
2024-11-05 10:05:34.901817,4.7,8.9,0.0,0.0
2024-11-05 10:05:34.934271,4.7,9.0,0.0,0.0
2024-11-05 10:05:35.009842,4.7,9.1,0.0,0.0
2024-11-05 10:05:35.014207,4.4,9.1,0.0,0.0
2024-11-05 10:05:35.016157,4.6,9.2,0.0,0.0
2024-11-05 10:05:35.178070,4.7,9.4,0.0,0.0
2024-11-05 10:05:35.193942,4.7,9.5,0.0,0.0
2024-11-05 10:05:35.198430,4.7,9.5,0.0,0.0
2024-11-05 10:05:35.218063,4.9,9.6,0.0,0.0
2024-11-05 10:05:35.254898,4.9,9.6,0.0,0.0
2024-11-05 10:05:35.287657,4.9,9.7,0.0,0.0
2024-11-05 10:05:35.368162,4.9,9.8,0.0,0.0
2024-11-05 10:05:35.372698,4.9,9.8,0.0,0.0
2024-11-05 10:05:35.378430,4.9,9.8,0.0,0.0
2024-11-05 10:05:35.533717,4.8,10.1,0.0,0.0
2024-11-05 10:05:35.556054,4.9,10.2,0.0,0.0
2024-11-05 10:05:35.559642,4.8,10.2,0.0,0.0
2024-11-05 10:05:35.575866,4.7,10.2,0.0,0.0
2024-11-05 10:05:35.608681,4.7,10.3,0.0,0.0
2024-11-05 10:05:35.640955,4.8,10.4,0.0,0.0
2024-11-05 10:05:35.726997,4.7,10.5,0.0,0.0
2024-11-05 10:05:35.734656,4.8,10.5,0.0,0.0
2024-11-05 10:05:35.736816,4.7,10.5,0.0,0.0
2024-11-05 10:05:35.888994,4.7,10.8,0.0,0.0
2024-11-05 10:05:35.914119,4.8,10.9,0.0,0.0
2024-11-05 10:05:35.914275,4.6,10.9,0.0,0.0
2024-11-05 10:05:35.932554,4.8,10.9,0.0,0.0
2024-11-05 10:05:35.961296,4.8,10.9,0.0,0.0
2024-11-05 10:05:35.994657,4.7,11.0,0.0,0.0
2024-11-05 10:05:36.082352,4.7,11.2,0.0,0.0
2024-11-05 10:05:36.092399,4.8,11.2,0.0,0.0
2024-11-05 10:05:36.101530,4.7,11.2,0.0,0.0
2024-11-05 10:05:36.244014,4.8,11.5,0.0,0.0
2024-11-05 10:05:36.267985,4.8,11.5,0.0,0.0
2024-11-05 10:05:36.271713,4.9,11.5,0.0,0.0
2024-11-05 10:05:36.287644,4.7,11.6,0.0,0.0
2024-11-05 10:05:36.313602,4.7,11.6,0.0,0.0
2024-11-05 10:05:36.347665,4.8,11.7,0.0,0.0
