Timestamp,CPU [%],RAM [GiB],GPU [%],VRAM [GiB]
2024-11-05 01:13:54.858062,17.6,4.0,0.0,0.0
2024-11-05 01:13:55.092112,15.5,4.0,0.0,0.0
2024-11-05 01:13:55.191452,14.9,4.0,0.0,0.0
2024-11-05 01:13:55.426038,6.9,4.0,0.0,0.0
2024-11-05 01:13:55.525103,5.4,4.0,0.0,0.0
2024-11-05 01:13:55.758411,4.0,4.0,0.0,0.0
2024-11-05 01:13:55.857549,3.6,4.0,0.0,0.0
2024-11-05 01:13:56.091735,3.8,4.0,0.0,0.0
2024-11-05 01:13:56.191143,7.3,4.0,0.0,0.0
2024-11-05 01:13:56.434441,60.2,4.1,0.0,0.0
2024-11-05 01:13:56.532370,84.5,4.2,0.0,0.0
2024-11-05 01:13:56.795311,99.4,4.4,0.0,0.0
2024-11-05 01:13:56.867901,96.7,4.5,0.0,0.0
2024-11-05 01:13:57.130351,73.3,4.6,0.0,0.0
2024-11-05 01:13:57.203108,67.2,4.7,0.0,0.0
2024-11-05 01:13:57.464982,66.2,4.9,0.0,0.0
2024-11-05 01:13:57.538221,67.0,4.9,0.0,0.0
2024-11-05 01:13:57.800170,67.4,5.0,0.0,0.0
2024-11-05 01:13:57.873756,66.7,5.0,0.0,0.0
2024-11-05 01:13:58.135102,66.7,5.2,0.0,0.0
2024-11-05 01:13:58.208582,67.5,5.2,0.0,0.0
2024-11-05 01:13:58.469480,67.6,5.2,0.0,0.0
2024-11-05 01:13:58.543435,66.6,5.2,0.0,0.0
2024-11-05 01:13:58.803764,66.4,5.3,0.0,0.0
2024-11-05 01:13:58.877479,66.9,5.3,0.0,0.0
2024-11-05 01:13:59.138715,65.4,5.4,0.0,0.0
2024-11-05 01:13:59.211432,61.4,5.4,0.0,0.0
2024-11-05 01:13:59.472325,50.6,5.5,0.0,0.0
2024-11-05 01:13:59.545765,49.2,5.5,0.0,0.0
2024-11-05 01:13:59.806106,42.1,5.7,0.0,0.0
2024-11-05 01:13:59.879610,41.0,5.7,0.0,0.0
2024-11-05 01:14:00.140435,41.1,5.8,0.0,0.0
2024-11-05 01:14:00.213493,41.3,5.8,0.0,0.0
2024-11-05 01:14:00.474280,40.8,5.9,0.0,0.0
2024-11-05 01:14:00.547206,42.1,5.9,0.0,0.0
2024-11-05 01:14:00.808017,42.8,6.0,0.0,0.0
2024-11-05 01:14:00.880806,41.7,6.0,0.0,0.0
2024-11-05 01:14:01.141332,38.7,6.0,0.0,0.0
2024-11-05 01:14:01.215090,32.6,6.0,0.0,0.0
2024-11-05 01:14:01.475006,6.6,6.0,0.0,0.0
2024-11-05 01:14:01.550158,16.8,6.1,0.0,0.0
2024-11-05 01:14:01.810105,73.2,6.1,0.0,0.0
2024-11-05 01:14:01.887249,76.2,6.1,0.0,0.0
2024-11-05 01:14:02.146426,77.9,6.1,0.0,0.0
2024-11-05 01:14:02.230916,79.8,6.1,0.0,0.0
2024-11-05 01:14:02.484874,84.5,6.1,0.0,0.0
2024-11-05 01:14:02.569970,83.3,6.1,0.0,0.0
2024-11-05 01:14:02.824189,74.8,6.1,0.0,0.0
2024-11-05 01:14:02.909523,76.0,6.1,0.0,0.0
2024-11-05 01:14:03.167653,77.7,6.1,0.0,0.0
2024-11-05 01:14:03.250242,74.9,6.1,0.0,0.0
2024-11-05 01:14:03.504770,65.7,6.1,0.0,0.0
2024-11-05 01:14:03.587369,69.0,6.1,0.0,0.0
2024-11-05 01:14:03.845058,75.9,6.1,0.0,0.0
2024-11-05 01:14:03.926019,73.4,6.1,0.0,0.0
2024-11-05 01:14:04.183704,72.0,6.1,0.0,0.0
2024-11-05 01:14:04.265526,73.4,6.1,0.0,0.0
2024-11-05 01:14:04.523170,79.5,6.1,0.0,0.0
2024-11-05 01:14:04.604108,79.6,6.1,0.0,0.0
2024-11-05 01:14:04.864064,72.8,6.1,0.0,0.0
2024-11-05 01:14:04.954698,75.5,6.1,0.0,0.0
2024-11-05 01:14:05.205057,79.6,6.1,0.0,0.0
2024-11-05 01:14:05.289960,76.4,6.1,0.0,0.0
2024-11-05 01:14:05.541731,70.3,6.1,0.0,0.0
2024-11-05 01:14:05.624365,68.0,6.1,0.0,0.0
2024-11-05 01:14:05.877418,69.6,6.1,0.0,0.0
2024-11-05 01:14:05.961568,69.8,6.1,0.0,0.0
2024-11-05 01:14:06.217141,73.1,6.1,0.0,0.0
2024-11-05 01:14:06.300978,77.1,6.1,0.0,0.0
2024-11-05 01:14:06.554432,83.7,6.1,0.0,0.0
2024-11-05 01:14:06.641211,83.6,6.1,0.0,0.0
2024-11-05 01:14:06.888595,72.8,6.1,0.0,0.0
2024-11-05 01:14:06.978714,67.2,6.1,0.0,0.0
2024-11-05 01:14:07.222701,48.4,6.1,0.0,0.0
2024-11-05 01:14:07.313856,33.5,6.1,0.0,0.0
2024-11-05 01:14:07.556350,7.4,6.1,0.0,0.0
2024-11-05 01:14:07.647090,16.1,6.1,0.0,0.0
2024-11-05 01:14:07.889448,19.0,6.1,0.0,0.0
2024-11-05 01:14:07.980681,9.2,6.1,0.0,0.0
2024-11-05 01:14:08.222825,5.6,6.1,0.0,0.0
2024-11-05 01:14:08.313578,7.8,6.1,0.0,0.0
2024-11-05 01:14:08.556142,8.0,6.1,0.0,0.0
2024-11-05 01:14:08.647196,6.0,6.1,0.0,0.0
2024-11-05 01:14:08.889689,12.5,6.1,0.0,0.0
2024-11-05 01:14:08.980807,15.8,6.1,0.0,0.0
2024-11-05 01:14:09.223022,12.2,6.1,0.0,0.0
2024-11-05 01:14:09.314121,9.6,6.1,0.0,0.0
2024-11-05 01:14:09.555559,4.2,6.1,0.0,0.0
2024-11-05 01:14:09.647488,3.4,6.1,0.0,0.0
2024-11-05 01:14:09.888836,2.7,6.1,0.0,0.0
2024-11-05 01:14:09.981302,1.9,6.1,0.0,0.0
2024-11-05 01:14:10.225857,8.5,6.1,0.0,0.0
2024-11-05 01:14:10.314971,22.5,6.1,0.0,0.0
2024-11-05 01:14:10.559697,18.9,6.1,0.0,0.0
2024-11-05 01:14:10.648814,6.2,6.1,0.0,0.0
2024-11-05 01:14:10.893318,4.7,6.1,0.0,0.0
2024-11-05 01:14:10.981754,4.5,6.1,0.0,0.0
2024-11-05 01:14:11.226806,3.9,6.1,0.0,0.0
2024-11-05 01:14:11.315181,3.6,6.1,0.0,0.0
2024-11-05 01:14:11.560317,12.4,6.1,0.0,0.0
2024-11-05 01:14:11.647998,13.7,6.1,0.0,0.0
2024-11-05 01:14:11.892843,9.5,6.1,0.0,0.0
2024-11-05 01:14:11.980584,11.4,6.1,0.0,0.0
2024-11-05 01:14:12.225645,12.5,6.1,0.0,0.0
2024-11-05 01:14:12.314601,10.4,6.1,0.0,0.0
2024-11-05 01:14:12.558390,6.3,6.1,0.0,0.0
2024-11-05 01:14:12.648183,5.9,6.1,0.0,0.0
2024-11-05 01:14:12.891969,4.0,6.1,0.0,0.0
2024-11-05 01:14:12.980816,2.9,6.1,0.0,0.0
2024-11-05 01:14:13.225184,5.0,6.1,0.0,0.0
2024-11-05 01:14:13.314188,18.3,6.1,0.0,0.0
2024-11-05 01:14:13.557917,42.8,6.1,0.0,0.0
2024-11-05 01:14:13.647496,30.5,6.1,0.0,0.0
2024-11-05 01:14:13.891262,4.0,6.1,0.0,0.0
2024-11-05 01:14:13.980158,3.1,6.1,0.0,0.0
2024-11-05 01:14:14.223688,4.0,6.1,0.0,0.0
2024-11-05 01:14:14.312597,3.8,6.1,0.0,0.0
2024-11-05 01:14:14.557167,5.3,6.1,0.0,0.0
2024-11-05 01:14:14.645649,8.3,6.1,0.0,0.0
2024-11-05 01:14:14.890035,10.9,6.1,0.0,0.0
2024-11-05 01:14:14.978476,9.8,6.1,0.0,0.0
2024-11-05 01:14:15.222595,8.8,6.1,0.0,0.0
2024-11-05 01:14:15.311157,9.5,6.1,0.0,0.0
2024-11-05 01:14:15.555689,10.9,6.1,0.0,0.0
2024-11-05 01:14:15.645024,11.5,6.1,0.0,0.0
2024-11-05 01:14:15.888336,12.5,6.1,0.0,0.0
2024-11-05 01:14:15.977610,11.8,6.1,0.0,0.0
2024-11-05 01:14:16.222155,11.2,6.1,0.0,0.0
2024-11-05 01:14:16.311220,9.3,6.1,0.0,0.0
2024-11-05 01:14:16.555577,3.4,6.1,0.0,0.0
2024-11-05 01:14:16.644476,2.5,6.1,0.0,0.0
2024-11-05 01:14:16.888881,2.5,6.1,0.0,0.0
2024-11-05 01:14:16.977843,3.0,6.1,0.0,0.0
2024-11-05 01:14:17.222289,17.5,6.1,0.0,0.0
2024-11-05 01:14:17.311633,32.8,6.1,0.0,0.0
2024-11-05 01:14:17.555964,54.2,6.1,0.0,0.0
2024-11-05 01:14:17.645078,41.0,6.1,0.0,0.0
2024-11-05 01:14:17.889132,6.2,6.1,0.0,0.0
2024-11-05 01:14:17.978160,4.9,6.1,0.0,0.0
2024-11-05 01:14:18.222471,4.9,6.1,0.0,0.0
2024-11-05 01:14:18.311037,5.0,6.1,0.0,0.0
2024-11-05 01:14:18.555421,4.1,6.1,0.0,0.0
2024-11-05 01:14:18.644124,5.9,6.1,0.0,0.0
2024-11-05 01:14:18.887902,11.5,6.1,0.0,0.0
2024-11-05 01:14:18.977002,10.4,6.1,0.0,0.0
2024-11-05 01:14:19.220647,9.5,6.1,0.0,0.0
2024-11-05 01:14:19.309888,11.0,6.1,0.0,0.0
2024-11-05 01:14:19.553239,10.0,6.1,0.0,0.0
2024-11-05 01:14:19.642504,9.5,6.1,0.0,0.0
2024-11-05 01:14:19.885963,11.3,6.1,0.0,0.0
2024-11-05 01:14:19.975048,10.2,6.1,0.0,0.0
2024-11-05 01:14:20.218613,10.0,6.1,0.0,0.0
2024-11-05 01:14:20.307694,10.3,6.1,0.0,0.0
2024-11-05 01:14:20.551301,10.3,6.1,0.0,0.0
2024-11-05 01:14:20.640770,10.5,6.1,0.0,0.0
2024-11-05 01:14:20.883785,8.3,6.1,0.0,0.0
2024-11-05 01:14:20.973584,7.7,6.1,0.0,0.0
2024-11-05 01:14:21.216420,10.3,6.1,0.0,0.0
2024-11-05 01:14:21.306136,11.6,6.1,0.0,0.0
2024-11-05 01:14:21.549318,10.5,6.1,0.0,0.0
2024-11-05 01:14:21.638844,11.3,6.1,0.0,0.0
2024-11-05 01:14:21.881880,13.1,6.1,0.0,0.0
2024-11-05 01:14:21.971409,12.0,6.1,0.0,0.0
2024-11-05 01:14:22.214480,6.5,6.1,0.0,0.0
2024-11-05 01:14:22.304013,3.4,6.1,0.0,0.0
