Timestamp,CPU [%],RAM [GiB],GPU [%],VRAM [GiB]
2024-11-05 01:18:14.220316,4.9,5.0,0.0,0.0
2024-11-05 01:18:14.220250,15.2,5.0,0.0,0.0
2024-11-05 01:18:14.355875,13.3,5.0,0.0,0.0
2024-11-05 01:18:14.494239,28.5,5.1,0.0,0.0
2024-11-05 01:18:14.564333,47.4,5.2,0.0,0.0
2024-11-05 01:18:14.564345,47.3,5.2,0.0,0.0
2024-11-05 01:18:14.704544,79.1,5.3,0.0,0.0
2024-11-05 01:18:14.834609,99.6,5.4,0.0,0.0
2024-11-05 01:18:14.905033,99.6,5.4,0.0,0.0
2024-11-05 01:18:14.906951,99.6,5.4,0.0,0.0
2024-11-05 01:18:15.038975,91.1,5.5,0.0,0.0
2024-11-05 01:18:15.168992,76.8,5.7,0.0,0.0
2024-11-05 01:18:15.239861,69.1,5.7,0.0,0.0
2024-11-05 01:18:15.241742,69.0,5.7,0.0,0.0
2024-11-05 01:18:15.373262,63.5,5.8,0.0,0.0
2024-11-05 01:18:15.503460,63.3,5.9,0.0,0.0
2024-11-05 01:18:15.574068,63.3,6.0,0.0,0.0
2024-11-05 01:18:15.576561,64.2,6.0,0.0,0.0
2024-11-05 01:18:15.707878,64.1,6.0,0.0,0.0
2024-11-05 01:18:15.838279,64.7,6.0,0.0,0.0
2024-11-05 01:18:15.908551,65.1,6.1,0.0,0.0
2024-11-05 01:18:15.911839,64.3,6.1,0.0,0.0
2024-11-05 01:18:16.042214,63.8,6.2,0.0,0.0
2024-11-05 01:18:16.172979,63.3,6.2,0.0,0.0
2024-11-05 01:18:16.244457,63.0,6.2,0.0,0.0
2024-11-05 01:18:16.246269,63.7,6.2,0.0,0.0
2024-11-05 01:18:16.376749,64.2,6.3,0.0,0.0
2024-11-05 01:18:16.506788,64.4,6.3,0.0,0.0
2024-11-05 01:18:16.579070,64.1,6.3,0.0,0.0
2024-11-05 01:18:16.580921,63.4,6.3,0.0,0.0
2024-11-05 01:18:16.711371,63.6,6.3,0.0,0.0
2024-11-05 01:18:16.841487,63.4,6.4,0.0,0.0
2024-11-05 01:18:16.914425,64.0,6.4,0.0,0.0
2024-11-05 01:18:16.915797,64.8,6.4,0.0,0.0
2024-11-05 01:18:17.045532,58.1,6.4,0.0,0.0
2024-11-05 01:18:17.175524,46.3,6.5,0.0,0.0
2024-11-05 01:18:17.248981,39.4,6.5,0.0,0.0
2024-11-05 01:18:17.250060,38.0,6.5,0.0,0.0
2024-11-05 01:18:17.379854,32.5,6.6,0.0,0.0
2024-11-05 01:18:17.509721,31.6,6.7,0.0,0.0
2024-11-05 01:18:17.582797,31.5,6.7,0.0,0.0
2024-11-05 01:18:17.583711,31.5,6.7,0.0,0.0
2024-11-05 01:18:17.714830,31.2,6.7,0.0,0.0
2024-11-05 01:18:17.843818,31.6,6.8,0.0,0.0
2024-11-05 01:18:17.916357,32.7,6.8,0.0,0.0
2024-11-05 01:18:17.917237,32.7,6.8,0.0,0.0
2024-11-05 01:18:18.048297,33.2,6.9,0.0,0.0
2024-11-05 01:18:18.178278,33.3,6.9,0.0,0.0
2024-11-05 01:18:18.249922,33.2,6.9,0.0,0.0
2024-11-05 01:18:18.250474,33.3,6.9,0.0,0.0
