Timestamp,CPU [%],RAM [GiB],GPU [%],VRAM [GiB]
2024-11-05 10:09:00.308624,8.7,8.6,0.0,0.0
2024-11-05 10:09:00.430916,5.5,8.7,0.0,0.0
2024-11-05 10:09:00.445636,5.5,8.7,0.0,0.0
2024-11-05 10:09:00.450576,5.6,8.8,0.0,0.0
2024-11-05 10:09:00.451709,5.7,8.8,0.0,0.0
2024-11-05 10:09:00.465419,5.9,8.8,0.0,0.0
2024-11-05 10:09:00.573471,6.0,9.0,0.0,0.0
2024-11-05 10:09:00.580862,6.2,9.0,0.0,0.0
2024-11-05 10:09:00.586020,6.0,9.0,0.0,0.0
2024-11-05 10:09:00.608573,5.8,9.1,0.0,0.0
2024-11-05 10:09:00.611038,5.6,9.1,0.0,0.0
2024-11-05 10:09:00.663112,5.3,9.1,0.0,0.0
2024-11-05 10:09:00.785090,5.3,9.4,0.0,0.0
2024-11-05 10:09:00.802939,5.3,9.4,0.0,0.0
2024-11-05 10:09:00.809072,5.2,9.4,0.0,0.0
2024-11-05 10:09:00.819451,5.2,9.4,0.0,0.0
2024-11-05 10:09:00.822127,5.2,9.4,0.0,0.0
2024-11-05 10:09:00.934795,5.2,9.6,0.0,0.0
2024-11-05 10:09:00.939778,5.3,9.6,0.0,0.0
2024-11-05 10:09:00.942536,5.3,9.6,0.0,0.0
2024-11-05 10:09:00.965158,5.3,9.7,0.0,0.0
2024-11-05 10:09:00.966823,5.2,9.7,0.0,0.0
2024-11-05 10:09:01.016906,5.1,9.7,0.0,0.0
2024-11-05 10:09:01.138690,5.1,10.0,0.0,0.0
2024-11-05 10:09:01.166950,5.1,10.1,0.0,0.0
2024-11-05 10:09:01.172875,5.2,10.1,0.0,0.0
2024-11-05 10:09:01.175169,5.3,10.1,0.0,0.0
2024-11-05 10:09:01.176786,5.0,10.1,0.0,0.0
2024-11-05 10:09:01.291316,5.0,10.2,0.0,0.0
2024-11-05 10:09:01.294366,5.0,10.3,0.0,0.0
2024-11-05 10:09:01.297539,5.0,10.3,0.0,0.0
2024-11-05 10:09:01.319836,5.0,10.3,0.0,0.0
2024-11-05 10:09:01.324623,5.1,10.3,0.0,0.0
2024-11-05 10:09:01.371250,5.2,10.4,0.0,0.0
