,Timestamp,CPU [%],RAM [GiB],GPU [%],VRAM [GiB]
0,2024-11-05 01:36:57.217174,5.9,6.5,0.0,0.0
1,2024-11-05 01:36:57.255022,4.1,6.5,0.0,0.0
2,34.6,6.8,0.0,0.0,
3,40.7,7.0,0.0,0.0,
4,2024-11-05 01:36:57.601194,45.5,7.2,0.0,0.0
5,38.8,7.7,0.0,0.0,
6,37.9,7.8,0.0,0.0,
7,2024-11-05 01:36:57.947708,35.5,7.8,0.0,0.0
8,31.7,8.1,0.0,0.0,
9,31.6,8.2,0.0,0.0,
10,2024-11-05 01:36:58.294017,31.7,8.3,0.0,0.0
11,35.6,8.7,0.0,0.0,
12,35.7,8.9,0.0,0.0,
13,2024-11-05 01:36:58.640466,35.5,8.9,0.0,0.0
14,31.5,9.1,0.0,0.0,
15,31.4,9.3,0.0,0.0,
16,2024-11-05 01:36:58.985954,31.4,9.3,0.0,0.0
17,36.1,9.7,0.0,0.0,
18,36.1,9.9,0.0,0.0,
19,2024-11-05 01:36:59.331646,36.1,9.9,0.0,0.0
20,31.6,10.2,0.0,0.0,
21,31.6,10.2,0.0,0.0,
22,2024-11-05 01:36:59.679022,31.6,10.4,0.0,0.0
23,30.8,10.6,0.0,0.0,
24,24.0,10.6,0.0,0.0,
25,2024-11-05 01:37:00.027159,21.5,10.6,0.0,0.0
26,6.8,10.7,0.0,0.0,
27,7.2,10.7,0.0,0.0,
28,2024-11-05 01:37:00.375665,7.0,10.7,0.0,0.0
29,7.3,10.7,0.0,0.0,
30,7.5,10.7,0.0,0.0,
31,2024-11-05 01:37:00.721830,6.5,10.7,0.0,0.0
32,6.6,10.7,0.0,0.0,
33,4.8,10.7,0.0,0.0,
34,2024-11-05 01:37:01.066973,4.9,10.7,0.0,0.0
35,5.2,10.7,0.0,0.0,
36,5.9,10.7,0.0,0.0,
37,2024-11-05 01:37:01.456271,6.2,10.7,0.0,0.0
38,2.8,10.7,0.0,0.0,
39,2.0,10.7,0.0,0.0,
40,2024-11-05 01:37:01.813496,1.8,10.7,0.0,0.0
41,1.7,10.8,0.0,0.0,
42,9.2,10.7,0.0,0.0,
43,2024-11-05 01:37:02.159285,10.3,10.7,0.0,0.0
44,9.3,10.7,0.0,0.0,
45,3.0,10.7,0.0,0.0,
46,2024-11-05 01:37:02.504649,1.4,10.7,0.0,0.0
47,2.0,10.7,0.0,0.0,
48,2.0,10.7,0.0,0.0,
49,2024-11-05 01:37:02.860219,2.3,10.7,0.0,0.0
50,1.6,10.7,0.0,0.0,
51,1.5,10.7,0.0,0.0,
52,2024-11-05 01:37:03.204760,1.8,10.7,0.0,0.0
53,1.7,10.7,0.0,0.0,
54,1.9,10.7,0.0,0.0,
55,2024-11-05 01:37:03.563538,12.5,10.7,0.0,0.0
56,17.4,10.7,0.0,0.0,
57,17.9,10.7,0.0,0.0,
58,2024-11-05 01:37:03.921379,6.4,10.7,0.0,0.0
59,1.6,10.7,0.0,0.0,
60,1.6,10.7,0.0,0.0,
61,2024-11-05 01:37:04.277620,2.1,10.7,0.0,0.0
62,1.9,10.7,0.0,0.0,
63,1.9,10.7,0.0,0.0,
64,2024-11-05 01:37:04.634172,1.4,10.7,0.0,0.0
65,1.6,10.8,0.0,0.0,
66,1.9,10.8,0.0,0.0,
67,2024-11-05 01:37:04.979466,1.8,10.7,0.0,0.0
68,1.8,10.7,0.0,0.0,
69,1.5,10.7,0.0,0.0,
70,2024-11-05 01:37:05.324883,1.6,10.7,0.0,0.0
71,2.0,10.7,0.0,0.0,
72,2.0,10.7,0.0,0.0,
73,2024-11-05 01:37:05.682300,2.0,10.7,0.0,0.0
74,1.5,10.7,0.0,0.0,
75,1.4,10.8,0.0,0.0,
76,2024-11-05 01:37:06.038873,1.8,10.7,0.0,0.0
77,2.0,10.7,0.0,0.0,
78,1.9,10.7,0.0,0.0,
79,2024-11-05 01:37:06.395944,2.7,10.7,0.0,0.0
80,4.3,10.7,0.0,0.0,
81,4.5,10.7,0.0,0.0,
82,2024-11-05 01:37:06.741360,5.2,10.7,0.0,0.0
83,6.5,10.7,0.0,0.0,
84,6.6,10.7,0.0,0.0,
85,2024-11-05 01:37:07.086639,4.9,10.7,0.0,0.0
86,6.2,10.7,0.0,0.0,
87,6.4,10.7,0.0,0.0,
88,2024-11-05 01:37:07.431453,6.1,10.7,0.0,0.0
89,2.0,10.8,0.0,0.0,
90,1.8,10.8,0.0,0.0,
91,2024-11-05 01:37:07.776238,1.9,10.7,0.0,0.0
92,3.2,10.7,0.0,0.0,
93,5.6,10.8,0.0,0.0,
94,2024-11-05 01:37:08.121352,9.7,10.7,0.0,0.0
95,8.6,10.7,0.0,0.0,
96,6.0,10.8,0.0,0.0,
97,2024-11-05 01:37:08.466719,2.1,10.7,0.0,0.0
98,1.6,10.7,0.0,0.0,
99,1.6,10.7,0.0,0.0,
100,2024-11-05 01:37:08.824141,2.1,10.7,0.0,0.0
101,1.8,10.7,0.0,0.0,
102,1.7,10.7,0.0,0.0,
103,2024-11-05 01:37:09.169480,1.4,10.7,0.0,0.0
104,1.8,10.7,0.0,0.0,
105,1.9,10.7,0.0,0.0,
106,2024-11-05 01:37:09.528619,14.8,10.7,0.0,0.0
107,16.7,10.7,0.0,0.0,
108,16.0,10.7,0.0,0.0,
109,2024-11-05 01:37:09.874229,4.4,10.7,0.0,0.0
110,1.9,10.7,0.0,0.0,
111,1.8,10.7,0.0,0.0,
112,2024-11-05 01:37:10.230926,1.6,10.7,0.0,0.0
113,1.9,10.8,0.0,0.0,
114,2.1,10.7,0.0,0.0,
115,2024-11-05 01:37:10.575624,1.8,10.7,0.0,0.0
116,1.5,10.7,0.0,0.0,
117,1.4,10.7,0.0,0.0,
118,2024-11-05 01:37:10.963768,1.4,10.7,0.0,0.0
119,1.9,10.7,0.0,0.0,
120,1.8,10.7,0.0,0.0,
121,2024-11-05 01:37:11.321320,1.8,10.7,0.0,0.0
122,1.4,10.7,0.0,0.0,
123,1.8,10.8,0.0,0.0,
124,2024-11-05 01:37:11.666621,2.1,10.7,0.0,0.0
125,2.1,10.7,0.0,0.0,
126,1.7,10.7,0.0,0.0,
127,2024-11-05 01:37:12.012068,1.4,10.7,0.0,0.0
128,1.8,10.7,0.0,0.0,
129,1.8,10.7,0.0,0.0,
130,2024-11-05 01:37:12.357228,2.9,10.7,0.0,0.0
131,3.7,10.8,0.0,0.0,
132,5.3,10.8,0.0,0.0,
133,2024-11-05 01:37:12.704078,4.8,10.8,0.0,0.0
134,5.2,10.8,0.0,0.0,
135,3.8,10.8,0.0,0.0,
136,2024-11-05 01:37:13.052602,3.3,10.8,0.0,0.0
137,4.6,10.8,0.0,0.0,
138,4.8,10.8,0.0,0.0,
139,2024-11-05 01:37:13.408776,4.9,10.8,0.0,0.0
140,1.8,10.8,0.0,0.0,
141,1.3,10.8,0.0,0.0,
142,2024-11-05 01:37:13.802963,1.3,10.8,0.0,0.0
143,6.1,10.8,0.0,0.0,
144,6.3,10.8,0.0,0.0,
145,2024-11-05 01:37:14.147832,5.8,10.8,0.0,0.0
146,1.5,10.8,0.0,0.0,
147,2.0,10.8,0.0,0.0,
148,2024-11-05 01:37:14.492792,2.0,10.8,0.0,0.0
149,2.1,10.8,0.0,0.0,
150,1.4,10.8,0.0,0.0,
151,2024-11-05 01:37:14.837471,1.5,10.8,0.0,0.0
152,1.7,10.8,0.0,0.0,
153,1.7,10.8,0.0,0.0,
154,2024-11-05 01:37:15.193920,1.6,10.8,0.0,0.0
155,1.5,10.8,0.0,0.0,
156,2.7,10.8,0.0,0.0,
157,2024-11-05 01:37:15.539355,5.4,10.8,0.0,0.0
158,8.2,10.9,0.0,0.0,
159,9.3,10.9,0.0,0.0,
160,2024-11-05 01:37:15.886859,8.7,10.9,0.0,0.0
161,8.2,10.9,0.0,0.0,
162,8.3,10.9,0.0,0.0,
163,2024-11-05 01:37:16.236083,9.6,10.9,0.0,0.0
164,10.0,10.9,0.0,0.0,
165,2024-11-05 01:37:16.594620,7.3,10.9,0.0,0.0
166,7.5,10.9,0.0,0.0,
167,2024-11-05 01:37:16.945160,9.5,10.9,0.0,0.0
168,7.8,10.9,0.0,0.0,
