Timestamp,CPU [%],RAM [GiB],GPU [%],VRAM [GiB]
2024-11-04 17:07:15.508544,21.1,11.9,0.0,0.0
2024-11-04 17:07:15.513371,12.3,11.9,0.0,0.0
2024-11-04 17:07:15.513646,12.3,11.9,0.0,0.0
2024-11-04 17:07:15.515180,12.3,11.9,0.0,0.0
2024-11-04 17:07:15.525523,12.1,11.9,0.0,0.0
2024-11-04 17:07:15.531664,12.1,11.9,0.0,0.0
2024-11-04 17:07:15.567194,13.3,11.9,0.0,0.0
2024-11-04 17:07:15.613824,16.6,11.9,0.0,0.0
2024-11-04 17:07:15.637511,18.4,11.9,0.0,0.0
2024-11-04 17:07:15.714371,29.2,11.9,0.0,0.0
2024-11-04 17:07:15.714001,29.1,11.9,0.0,0.0
2024-11-04 17:07:15.717819,28.8,11.9,0.0,0.0
2024-11-04 17:07:15.741569,30.5,12.0,0.0,0.0
2024-11-04 17:07:15.750108,30.4,12.0,0.0,0.0
2024-11-04 17:07:15.753379,35.3,12.0,0.0,0.0
2024-11-04 17:07:15.761825,32.8,12.0,0.0,0.0
2024-11-04 17:07:15.761815,35.3,12.0,0.0,0.0
2024-11-04 17:07:15.761416,35.3,12.0,0.0,0.0
2024-11-04 17:07:15.848058,57.3,12.0,0.0,0.0
2024-11-04 17:07:15.851496,59.2,12.0,0.0,0.0
2024-11-04 17:07:15.861493,59.6,12.0,0.0,0.0
2024-11-04 17:07:15.862162,59.6,12.0,0.0,0.0
2024-11-04 17:07:15.871248,62.2,12.0,0.0,0.0
2024-11-04 17:07:15.872778,59.9,12.0,0.0,0.0
2024-11-04 17:07:15.882687,64.1,12.0,0.0,0.0
2024-11-04 17:07:15.909968,71.7,12.0,0.0,0.0
2024-11-04 17:07:15.948967,82.2,12.1,0.0,0.0
2024-11-04 17:07:15.972684,86.7,12.1,0.0,0.0
2024-11-04 17:07:16.061508,98.2,12.2,0.0,0.0
2024-11-04 17:07:16.062145,97.7,12.2,0.0,0.0
2024-11-04 17:07:16.071604,97.7,12.2,0.0,0.0
2024-11-04 17:07:16.077335,99.1,12.2,0.0,0.0
2024-11-04 17:07:16.088311,99.1,12.2,0.0,0.0
2024-11-04 17:07:16.101680,99.1,12.2,0.0,0.0
2024-11-04 17:07:16.111582,99.1,12.2,0.0,0.0
2024-11-04 17:07:16.111483,99.1,12.2,0.0,0.0
2024-11-04 17:07:16.111569,99.1,12.2,0.0,0.0
2024-11-04 17:07:16.191786,99.1,12.2,0.0,0.0
2024-11-04 17:07:16.204788,99.1,12.2,0.0,0.0
2024-11-04 17:07:16.207457,99.1,12.2,0.0,0.0
2024-11-04 17:07:16.211724,99.1,12.2,0.0,0.0
2024-11-04 17:07:16.221693,99.1,12.3,0.0,0.0
2024-11-04 17:07:16.222498,99.1,12.3,0.0,0.0
2024-11-04 17:07:16.231661,99.1,12.3,0.0,0.0
2024-11-04 17:07:16.261796,99.1,12.3,0.0,0.0
2024-11-04 17:07:16.293826,99.6,12.3,0.0,0.0
2024-11-04 17:07:16.331827,99.8,12.3,0.0,0.0
2024-11-04 17:07:16.412740,100.0,12.4,0.0,0.0
2024-11-04 17:07:16.419610,100.0,12.4,0.0,0.0
2024-11-04 17:07:16.422495,100.0,12.4,0.0,0.0
2024-11-04 17:07:16.432093,100.0,12.4,0.0,0.0
2024-11-04 17:07:16.432444,100.0,12.4,0.0,0.0
2024-11-04 17:07:16.451974,100.0,12.4,0.0,0.0
2024-11-04 17:07:16.461727,100.0,12.4,0.0,0.0
2024-11-04 17:07:16.461670,100.0,12.4,0.0,0.0
2024-11-04 17:07:16.463826,100.0,12.4,0.0,0.0
2024-11-04 17:07:16.537095,100.0,12.5,0.0,0.0
2024-11-04 17:07:16.552213,100.0,12.5,0.0,0.0
2024-11-04 17:07:16.553162,100.0,12.5,0.0,0.0
2024-11-04 17:07:16.561613,100.0,12.5,0.0,0.0
2024-11-04 17:07:16.571653,100.0,12.5,0.0,0.0
2024-11-04 17:07:16.572006,100.0,12.5,0.0,0.0
2024-11-04 17:07:16.581808,100.0,12.5,0.0,0.0
2024-11-04 17:07:16.611628,100.0,12.5,0.0,0.0
2024-11-04 17:07:16.651475,100.0,12.5,0.0,0.0
2024-11-04 17:07:16.681569,100.0,12.6,0.0,0.0
2024-11-04 17:07:16.771490,100.0,12.6,0.0,0.0
2024-11-04 17:07:16.771602,100.0,12.6,0.0,0.0
2024-11-04 17:07:16.779776,100.0,12.6,0.0,0.0
2024-11-04 17:07:16.781463,100.0,12.6,0.0,0.0
2024-11-04 17:07:16.782286,100.0,12.6,0.0,0.0
2024-11-04 17:07:16.801666,100.0,12.6,0.0,0.0
2024-11-04 17:07:16.811672,100.0,12.7,0.0,0.0
2024-11-04 17:07:16.811987,100.0,12.7,0.0,0.0
2024-11-04 17:07:16.812706,100.0,12.7,0.0,0.0
2024-11-04 17:07:16.881745,100.0,12.7,0.0,0.0
2024-11-04 17:07:16.901613,100.0,12.7,0.0,0.0
2024-11-04 17:07:16.901689,100.0,12.7,0.0,0.0
2024-11-04 17:07:16.911759,100.0,12.7,0.0,0.0
2024-11-04 17:07:16.921475,100.0,12.7,0.0,0.0
2024-11-04 17:07:16.921810,100.0,12.7,0.0,0.0
2024-11-04 17:07:16.931570,100.0,12.7,0.0,0.0
2024-11-04 17:07:16.962257,100.0,12.8,0.0,0.0
2024-11-04 17:07:17.007541,100.0,12.8,0.0,0.0
2024-11-04 17:07:17.041585,100.0,12.8,0.0,0.0
2024-11-04 17:07:17.122105,100.0,12.9,0.0,0.0
2024-11-04 17:07:17.131612,100.0,12.9,0.0,0.0
2024-11-04 17:07:17.131597,100.0,12.9,0.0,0.0
2024-11-04 17:07:17.131721,100.0,12.9,0.0,0.0
2024-11-04 17:07:17.131743,100.0,12.9,0.0,0.0
2024-11-04 17:07:17.152867,100.0,12.9,0.0,0.0
2024-11-04 17:07:17.161887,100.0,12.9,0.0,0.0
2024-11-04 17:07:17.162114,100.0,12.9,0.0,0.0
2024-11-04 17:07:17.171624,100.0,12.9,0.0,0.0
2024-11-04 17:07:17.239604,100.0,12.9,0.0,0.0
2024-11-04 17:07:17.251568,100.0,13.0,0.0,0.0
2024-11-04 17:07:17.252547,100.0,13.0,0.0,0.0
2024-11-04 17:07:17.271523,100.0,13.0,0.0,0.0
2024-11-04 17:07:17.271831,100.0,13.0,0.0,0.0
2024-11-04 17:07:17.271713,100.0,13.0,0.0,0.0
2024-11-04 17:07:17.281442,100.0,13.0,0.0,0.0
2024-11-04 17:07:17.311755,100.0,13.0,0.0,0.0
2024-11-04 17:07:17.371589,100.0,13.0,0.0,0.0
2024-11-04 17:07:17.391700,100.0,13.0,0.0,0.0
2024-11-04 17:07:17.459890,99.6,13.0,0.0,0.0
2024-11-04 17:07:17.475808,99.7,13.0,0.0,0.0
2024-11-04 17:07:17.475591,99.6,13.0,0.0,0.0
2024-11-04 17:07:17.482036,99.6,13.0,0.0,0.0
2024-11-04 17:07:17.482599,99.6,13.0,0.0,0.0
2024-11-04 17:07:17.509628,99.6,13.0,0.0,0.0
2024-11-04 17:07:17.519939,99.6,13.0,0.0,0.0
2024-11-04 17:07:17.521657,99.7,13.0,0.0,0.0
2024-11-04 17:07:17.521787,99.6,13.0,0.0,0.0
2024-11-04 17:07:17.586283,98.6,13.1,0.0,0.0
